PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
PO/AND/26/00029,Parmar Engineering Works,2025-04-01,PPR/AND/26/00162,2025-04-17,0.0,16.0,>15 days,2025-04
PO/AND/26/00030,DURVESH ENTERPRISES,2025-04-01,PPR/AND/26/00553,2025-05-31,0.0,60.0,>15 days,2025-05
PO/AND/26/00031,NECTAR BRASS INDUSTRIES,2025-04-01,PPR/AND/26/00081,2025-04-08,0.0,7.0,≤15 days,2025-04
PO/AND/26/00032,Venus Industries,2025-04-01,PPR/AND/26/00129,2025-04-17,0.0,16.0,>15 days,2025-04
PO/AND/26/00033,BNB ENTERPRISE,2025-04-01,PPR/AND/26/00091,2025-04-11,0.0,10.0,≤15 days,2025-04
PO/AND/26/00034,VIMALNATH BRASS INDUSTRIES,2025-04-01,PPR/AND/26/00082,2025-04-08,0.0,7.0,≤15 days,2025-04
PO/AND/26/00035,Yamuna Brass Industries,2025-04-01,PPR/AND/26/00226,2025-04-26,0.0,25.0,>15 days,2025-04
PO/AND/26/00036,Satish Brass Product,2025-04-01,PPR/AND/26/00186,2025-04-23,0.0,22.0,>15 days,2025-04
PO/AND/26/00037,Shree Momai Trading Company,2025-04-01,PPR/AND/26/00179,2025-04-24,0.0,23.0,>15 days,2025-04
PO/AND/26/00038,HARIA METALS,2025-04-01,PPR/AND/26/00224,2025-04-26,0.0,25.0,>15 days,2025-04
PO/AND/26/00039,Veda Excom Pvt Ltd,2025-04-01,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00040,RIDDHI SIDDHI CORPORATION,2025-04-01,PPR/AND/26/00045,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/AND/26/00041,RIDDHI SIDDHI CORPORATION,2025-04-10,PPR/AND/26/00099,2025-04-15,0.0,5.0,≤15 days,2025-04
PO/AND/26/00042,RUPAL PLASTICS PVT LTD,2025-04-01,PPR/AND/26/00118,2025-04-10,0.0,9.0,≤15 days,2025-04
PO/AND/26/00043,SUNRISE POLYMER,2025-04-01,PPR/AND/26/00111,2025-04-10,0.0,9.0,≤15 days,2025-04
PO/AND/26/00044,ACN PLASTIC,2025-04-01,PPR/AND/26/00173,2025-04-26,0.0,25.0,>15 days,2025-04
PO/AND/26/00045,KASAT PLASTIC,2025-04-01,PPR/AND/26/00215,2025-04-05,0.0,4.0,≤15 days,2025-04
PO/AND/26/00046,TANISHA ENTERPRISES,2025-04-01,PPR/AND/26/00191,2025-04-28,0.0,27.0,>15 days,2025-04
PO/AND/26/00047,RIDDHI SIDDHI CORPORATION,2025-04-01,PPR/AND/26/00193,2025-04-25,0.0,24.0,>15 days,2025-04
PO/AND/26/00048,RIDDHI SIDDHI CORPORATION,2025-04-01,PPR/AND/26/00044,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/AND/26/00049,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-04-21,PPR/AND/26/00204,2025-04-26,0.0,5.0,≤15 days,2025-04
PO/AND/26/00050,PRINTSOUK,2025-04-21,PPR/AND/26/00203,2025-04-22,0.0,1.0,≤15 days,2025-04
PO/AND/26/00051,RIDDHI SIDDHI CORPORATION,2025-04-22,PPR/AND/26/00194,2025-04-24,0.0,2.0,≤15 days,2025-04
PO/AND/26/00052,RIDDHI SIDDHI CORPORATION,2025-04-22,PPR/AND/26/00195,2025-04-26,0.0,4.0,≤15 days,2025-04
PO/AND/26/00053,RIDDHI SIDDHI CORPORATION,2025-04-22,PPR/AND/26/00098,2025-04-15,0.0,-7.0,No Receipt,2025-04
PO/AND/26/00054,SAI ENTERPRISES (VENDOR),2025-04-23,PPR/AND/26/00546,2025-05-29,0.0,36.0,>15 days,2025-05
PO/AND/26/00055,ARIHANT INDUSTRIES,2025-04-23,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00056,SUNRISE POLYMER,2025-04-01,PPR/AND/26/00112,2025-04-10,0.0,9.0,≤15 days,2025-04
PO/AND/26/00057,MELCON PLASTICS,2025-04-25,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00058,Supreme Innovations,2025-04-25,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00059,TANISHA ENTERPRISES,2025-04-25,PPR/AND/26/00192,2025-04-28,0.0,3.0,≤15 days,2025-04
PO/AND/26/00060,PRINTSOUK,2025-04-25,PPR/AND/26/00658,2025-04-16,0.0,-9.0,No Receipt,2025-04
PO/AND/26/00061,PRINTSOUK,2025-04-25,PPR/AND/26/00267,2025-04-05,0.0,-20.0,No Receipt,2025-04
PO/AND/26/00062,Banke Bihari Timber Co.,2025-04-25,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00063,SS COMMERCIAL,2025-04-25,PPR/AND/26/00292,2025-04-14,0.0,-11.0,No Receipt,2025-04
PO/AND/26/00064,NEELANJ BUSINESS SOLUTION LLP,2025-04-25,PPR/AND/26/00733,2025-04-30,0.0,5.0,≤15 days,2025-04
PO/AND/26/00065,Supreme Innovations,2025-04-26,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00066,SUNRISE POLYMER,2025-05-01,PPR/AND/26/00330,2025-05-08,0.0,7.0,≤15 days,2025-05
PO/AND/26/00067,URVI PLASTIC INDUSTRIES,2025-05-01,PPR/AND/26/00295,2025-05-06,0.0,5.0,≤15 days,2025-05
PO/AND/26/00068,PERFECT PACKERS,2025-04-28,PPR/AND/26/00265,2025-04-26,0.0,-2.0,No Receipt,2025-04
PO/AND/26/00069,RIDDHI SIDDHI CORPORATION,2025-05-01,PPR/AND/26/00473,2025-05-22,0.0,21.0,>15 days,2025-05
PO/AND/26/00070,RIDDHI SIDDHI CORPORATION,2025-05-01,PPR/AND/26/00297,2025-05-08,0.0,7.0,≤15 days,2025-05
PO/AND/26/00071,RIDDHI SIDDHI CORPORATION,2025-05-01,PPR/AND/26/00521,2025-05-26,0.0,25.0,>15 days,2025-05
PO/AND/26/00072,ACN PLASTIC,2025-05-01,PPR/AND/26/00291,2025-05-06,0.0,5.0,≤15 days,2025-05
PO/AND/26/00073,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-04-29,PPR/AND/26/00205,2025-04-26,0.0,-3.0,No Receipt,2025-04
PO/AND/26/00074,DHARMIN ENTERPRISE,2025-04-29,PPR/AND/26/00252,2025-04-29,0.0,0.0,≤15 days,2025-04
PO/AND/26/00075,Ramaya Packaging,2025-05-01,PPR/AND/26/00381,2025-05-13,0.0,12.0,≤15 days,2025-05
PO/AND/26/00076,MELCON PLASTICS,2025-04-30,PPR/AND/26/00287,2025-04-30,0.0,0.0,≤15 days,2025-04
PO/AND/26/00077,Supreme Innovations,2025-04-30,PPR/AND/26/00270,2025-04-25,0.0,-5.0,No Receipt,2025-04
PO/AND/26/00078,SHREE BALAJI PRINTERS,2025-04-30,PPR/AND/26/00275,2025-04-19,0.0,-11.0,No Receipt,2025-04
PO/AND/26/00079,SHIVOM PRINTERS,2025-04-30,PPR/AND/26/00290,2025-04-16,0.0,-14.0,No Receipt,2025-04
PO/AND/26/00080,Gyanesh Print And Pack,2025-04-30,PPR/AND/26/00477,2025-04-24,0.0,-6.0,No Receipt,2025-04
PO/AND/26/00081,PRINT LINE,2025-04-30,PPR/AND/26/00277,2025-04-09,0.0,-21.0,No Receipt,2025-04
PO/AND/26/00082,KANKAI ENTERPRISES,2025-04-30,PPR/AND/26/00278,2025-04-03,0.0,-27.0,No Receipt,2025-04
PO/AND/26/00083,Ramaya Packaging,2025-04-30,PPR/AND/26/00279,2025-04-12,0.0,-18.0,No Receipt,2025-04
PO/AND/26/00084,MAHAVIR TRADERS,2025-04-30,PPR/AND/26/00280,2025-04-04,0.0,-26.0,No Receipt,2025-04
PO/AND/26/00085,P.P.ASSEMBLING,2025-05-01,PPR/AND/26/00325,2025-05-07,0.0,6.0,≤15 days,2025-05
PO/AND/26/00086,ARIHANT INDUSTRIES,2025-05-01,PPR/AND/26/00437,2025-05-21,0.0,20.0,>15 days,2025-05
PO/AND/26/00087,DHARMIN ENTERPRISE,2025-05-01,PPR/AND/26/00356,2025-05-09,0.0,8.0,≤15 days,2025-05
PO/AND/26/00088,OM INDUSTRIES-NEW,2025-05-01,PPR/AND/26/00346,2025-05-05,0.0,4.0,≤15 days,2025-05
PO/AND/26/00089,GIRI ENTERPRISES,2025-05-01,PPR/AND/26/00497,2025-05-27,0.0,26.0,>15 days,2025-05
PO/AND/26/00090,MELCON PLASTICS,2025-05-01,PPR/AND/26/00524,2025-05-28,0.0,27.0,>15 days,2025-05
PO/AND/26/00091,TANISHA ENTERPRISES,2025-05-01,PPR/AND/26/00478,2025-05-26,0.0,25.0,>15 days,2025-05
PO/AND/26/00092,S.PLASTICS,2025-05-01,PPR/AND/26/00841,2025-06-28,0.0,58.0,>15 days,2025-06
PO/AND/26/00093,Supreme Innovations,2025-05-01,PPR/AND/26/00520,2025-05-21,0.0,20.0,>15 days,2025-05
PO/AND/26/00094,MODERN ENGINEERING & SPRING COMPANY,2025-05-01,PPR/AND/26/00380,2025-05-13,0.0,12.0,≤15 days,2025-05
PO/AND/26/00095,G R INDUSTRIES,2025-05-01,PPR/AND/26/00387,2025-05-15,0.0,14.0,≤15 days,2025-05
PO/AND/26/00096,PERFECT PACKERS,2025-05-01,PPR/AND/26/00541,2025-05-24,0.0,23.0,>15 days,2025-05
PO/AND/26/00097,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-05-01,PPR/AND/26/00463,2025-05-23,0.0,22.0,>15 days,2025-05
PO/AND/26/00098,Gyanesh Print And Pack,2025-05-01,PPR/AND/26/00561,2025-05-26,0.0,25.0,>15 days,2025-05
PO/AND/26/00099,SHREE BALAJI PRINTERS,2025-05-01,PPR/AND/26/01011,2025-06-25,0.0,55.0,>15 days,2025-06
PO/AND/26/00100,A.K.PACKAGING,2025-05-01,PPR/AND/26/00563,2025-05-23,0.0,22.0,>15 days,2025-05
PO/AND/26/00101,PRINT LINE,2025-05-01,PPR/AND/26/00576,2025-06-03,0.0,33.0,>15 days,2025-06
PO/AND/26/00102,PRINTSOUK,2025-05-01,PPR/AND/26/00495,2025-05-24,0.0,23.0,>15 days,2025-05
PO/AND/26/00103,Ramaya Packaging,2025-05-01,PPR/AND/26/00352,2025-05-02,0.0,1.0,≤15 days,2025-05
PO/AND/26/00104,KANKAI ENTERPRISES,2025-05-01,PPR/AND/26/01482,2025-09-11,13000.0,133.0,>15 days,2025-09
PO/AND/26/00105,WITCO POTTERIES,2025-05-01,PPR/AND/26/00848,2025-05-24,0.0,23.0,>15 days,2025-05
PO/AND/26/00106,VENUS COLOURANTS,2025-05-01,PPR/AND/26/00357,2025-05-10,0.0,9.0,≤15 days,2025-05
PO/AND/26/00107,MAHAVIR TRADERS,2025-05-01,PPR/AND/26/00467,2025-05-22,0.0,21.0,>15 days,2025-05
PO/AND/26/00108,JAYESH INDUSTRIES,2025-05-01,PPR/AND/26/00432,2025-05-20,0.0,19.0,>15 days,2025-05
PO/AND/26/00109,SAI ENTERPRISES (VENDOR),2025-05-01,PPR/AND/26/00550,2025-05-24,16186.0,23.0,>15 days,2025-05
PO/AND/26/00110,DURVESH ENTERPRISES,2025-05-01,PPR/AND/26/00775,2025-06-23,24646.0,53.0,>15 days,2025-06
PO/AND/26/00111,REKHA TRADING CO,2025-05-01,PPR/AND/26/00857,2025-06-24,844.0,54.0,>15 days,2025-06
PO/AND/26/00112,RAJESHREE INDUSTRIES,2025-05-01,PPR/AND/26/00538,2025-05-29,1000.0,28.0,>15 days,2025-05
PO/AND/26/00113,Parmar Engineering Works,2025-05-01,PPR/AND/26/00342,2025-05-14,0.0,13.0,≤15 days,2025-05
PO/AND/26/00114,KALA ENTERPRISES,2025-05-01,PPR/AND/26/00460,2025-05-23,0.0,22.0,>15 days,2025-05
PO/AND/26/00115,Vardan Enterprises,2025-05-01,PPR/AND/26/00353,2025-05-02,0.0,1.0,≤15 days,2025-05
PO/AND/26/00116,HARIA METALS,2025-05-01,PPR/AND/26/00469,2025-05-24,0.0,23.0,>15 days,2025-05
PO/AND/26/00117,NECTAR BRASS INDUSTRIES,2025-05-01,PPR/AND/26/00327,2025-05-06,0.0,5.0,≤15 days,2025-05
PO/AND/26/00118,Venus Industries,2025-05-01,PPR/AND/26/00368,2025-05-12,0.0,11.0,≤15 days,2025-05
PO/AND/26/00119,BNB ENTERPRISE,2025-05-01,PPR/AND/26/00369,2025-05-12,0.0,11.0,≤15 days,2025-05
PO/AND/26/00120,HITECH SCREWS & RIVETS,2025-05-01,PPR/AND/26/00716,2025-05-26,0.0,25.0,>15 days,2025-05
PO/AND/26/00121,VIMALNATH BRASS INDUSTRIES,2025-05-01,PPR/AND/26/00392,2025-05-16,0.0,15.0,≤15 days,2025-05
PO/AND/26/00122,Yamuna Brass Industries,2025-05-01,PPR/AND/26/00471,2025-05-24,725.0,23.0,>15 days,2025-05
PO/AND/26/00123,Satish Brass Product,2025-05-01,PPR/AND/26/00433,2025-05-20,0.0,19.0,>15 days,2025-05
PO/AND/26/00124,Shree Momai Trading Company,2025-05-01,PPR/AND/26/00470,2025-05-24,0.0,23.0,>15 days,2025-05
PO/AND/26/00125,Angel Brass Industries,2025-05-01,PPR/AND/26/01337,2025-08-02,0.0,93.0,>15 days,2025-08
PO/AND/26/00126,Yogi Tilak industries,2025-05-01,PPR/AND/26/00537,2025-05-29,0.0,28.0,>15 days,2025-05
PO/AND/26/00127,KMUNOTAG PRIVATE LIMITED,2025-04-30,PPR/AND/26/00311,2025-04-07,0.0,-23.0,No Receipt,2025-04
PO/AND/26/00128,SHIV ENTERPRISES,2025-04-30,PPR/AND/26/00299,2025-04-18,0.0,-12.0,No Receipt,2025-04
PO/AND/26/00129,Matrix Technologies,2025-04-30,PPR/AND/26/00300,2025-04-30,0.0,0.0,≤15 days,2025-04
PO/AND/26/00130,KMUNOTAG PRIVATE LIMITED,2025-05-13,PPR/AND/26/00560,2025-05-29,0.0,16.0,>15 days,2025-05
PO/AND/26/00131,SIGN ADS,2025-05-15,PPR/AND/26/00329,2025-04-20,115.09,-25.0,No Receipt,2025-04
PO/AND/26/00132,SUNRISE POLYMER,2025-05-16,PPR/AND/26/00331,2025-05-08,0.0,-8.0,No Receipt,2025-05
PO/AND/26/00133,KGK JET INDIA PRIVATE LIMITED,2025-05-20,PPR/AND/26/00500,2025-05-26,0.0,6.0,≤15 days,2025-05
PO/AND/26/00134,HARIA METALS,2025-06-01,PPR/AND/26/00840,2025-06-28,0.0,27.0,>15 days,2025-06
PO/AND/26/00135,NECTAR BRASS INDUSTRIES,2025-06-01,PPR/AND/26/00606,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00136,Venus Industries,2025-06-01,PPR/AND/26/00605,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00137,BNB ENTERPRISE,2025-06-01,PPR/AND/26/00607,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00138,HITECH SCREWS & RIVETS,2025-06-01,PPR/AND/26/00737,2025-06-23,0.0,22.0,>15 days,2025-06
PO/AND/26/00139,VIMALNATH BRASS INDUSTRIES,2025-06-01,PPR/AND/26/00609,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00140,ARIHANT INDUSTRIES,2025-06-01,PPR/AND/26/00718,2025-06-19,2720.0,18.0,>15 days,2025-06
PO/AND/26/00141,OM INDUSTRIES-NEW,2025-06-01,PPR/AND/26/00580,2025-06-02,0.0,1.0,≤15 days,2025-06
PO/AND/26/00142,GIRI ENTERPRISES,2025-06-01,PPR/AND/26/00767,2025-06-27,19900.0,26.0,>15 days,2025-06
PO/AND/26/00143,MELCON PLASTICS,2025-06-01,PPR/AND/26/00766,2025-06-14,0.0,13.0,≤15 days,2025-06
PO/AND/26/00144,TANISHA ENTERPRISES,2025-06-01,PPR/AND/26/00749,2025-06-24,0.0,23.0,>15 days,2025-06
PO/AND/26/00145,S.PLASTICS,2025-06-01,PPR/AND/26/00842,2025-06-28,2076.0,27.0,>15 days,2025-06
PO/AND/26/00146,Supreme Innovations,2025-06-01,PPR/AND/26/00759,2025-06-14,0.0,13.0,≤15 days,2025-06
PO/AND/26/00147,G R INDUSTRIES,2025-06-01,PPR/AND/26/00581,2025-06-04,0.0,3.0,≤15 days,2025-06
PO/AND/26/00148,MODERN ENGINEERING & SPRING COMPANY,2025-06-01,PPR/AND/26/00629,2025-06-11,0.0,10.0,≤15 days,2025-06
PO/AND/26/00149,PERFECT PACKERS,2025-06-01,PPR/AND/26/00788,2025-06-24,0.0,23.0,>15 days,2025-06
PO/AND/26/00150,Gyanesh Print And Pack,2025-06-01,PPR/AND/26/01009,2025-06-27,130.0,26.0,>15 days,2025-06
PO/AND/26/00151,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-06-01,PPR/AND/26/00688,2025-06-16,502.0,15.0,≤15 days,2025-06
PO/AND/26/00152,A.K.PACKAGING,2025-06-01,PPR/AND/26/00930,2025-07-11,1003.0,40.0,>15 days,2025-07
PO/AND/26/00153,PRINT LINE,2025-06-01,PPR/AND/26/00796,2025-06-26,1000.0,25.0,>15 days,2025-06
PO/AND/26/00154,PRINTSOUK,2025-06-01,PPR/AND/26/00810,2025-06-30,0.0,29.0,>15 days,2025-06
PO/AND/26/00155,Ramaya Packaging,2025-06-01,PPR/AND/26/00582,2025-06-04,8.0,3.0,≤15 days,2025-06
PO/AND/26/00156,KANKAI ENTERPRISES,2025-06-01,PPR/AND/26/00845,2025-06-24,10800.0,23.0,>15 days,2025-06
PO/AND/26/00157,WITCO POTTERIES,2025-06-01,PPR/AND/26/00798,2025-06-27,14.0,26.0,>15 days,2025-06
PO/AND/26/00158,DHARMIN ENTERPRISE,2025-06-01,PPR/AND/26/00601,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00159,JAYESH INDUSTRIES,2025-06-01,NAN,,1000.0,,No Receipt,NaT
PO/AND/26/00160,DURVESH ENTERPRISES,2025-06-01,PPR/AND/26/00847,2025-06-30,9.0,29.0,>15 days,2025-06
PO/AND/26/00161,SAI ENTERPRISES (VENDOR),2025-06-01,PPR/AND/26/00849,2025-06-18,15048.0,17.0,>15 days,2025-06
PO/AND/26/00162,Satish Brass Product,2025-06-01,PPR/AND/26/00588,2025-06-04,0.0,3.0,≤15 days,2025-06
PO/AND/26/00163,Shree Momai Trading Company,2025-06-01,PPR/AND/26/00637,2025-06-14,0.0,13.0,≤15 days,2025-06
PO/AND/26/00164,Angel Brass Industries,2025-06-01,PPR/AND/26/00610,2025-06-06,0.0,5.0,≤15 days,2025-06
PO/AND/26/00165,RAJESHREE INDUSTRIES,2025-06-01,PPR/AND/26/00799,2025-06-27,0.0,26.0,>15 days,2025-06
PO/AND/26/00166,Parmar Engineering Works,2025-06-01,NAN,,40000.0,,No Receipt,NaT
PO/AND/26/00167,KALA ENTERPRISES,2025-06-01,NAN,,10000.0,,No Receipt,NaT
PO/AND/26/00168,VANSHIKA ADVERTISING,2025-05-31,PPR/AND/26/01903,2025-10-10,1004.29,132.0,>15 days,2025-10
PO/AND/26/00169,URVI PLASTIC INDUSTRIES,2025-06-01,PPR/AND/26/00583,2025-06-05,0.0,4.0,≤15 days,2025-06
PO/AND/26/00170,VIVANI ELECTRONICS,2025-06-01,PPR/AND/26/01033,2025-07-25,0.0,54.0,>15 days,2025-07
PO/AND/26/00171,VISHAL PRECISION MOULDS,2025-06-01,PPR/AND/26/00589,2025-06-03,0.0,2.0,≤15 days,2025-06
PO/AND/26/00172,SUNRISE POLYMER,2025-06-01,PPR/AND/26/00771,2025-06-02,0.0,1.0,≤15 days,2025-06
PO/AND/26/00173,ACN PLASTIC,2025-06-01,PPR/AND/26/00579,2025-06-09,0.0,8.0,≤15 days,2025-06
PO/AND/26/00174,RIDDHI SIDDHI CORPORATION,2025-06-01,PPR/AND/26/00772,2025-06-20,500.0,19.0,>15 days,2025-06
PO/AND/26/00175,RIDDHI SIDDHI CORPORATION,2025-06-01,PPR/AND/26/00730,2025-06-20,0.0,19.0,>15 days,2025-06
PO/AND/26/00176,RIDDHI SIDDHI CORPORATION,2025-06-01,PPR/AND/26/00586,2025-06-05,0.0,4.0,≤15 days,2025-06
PO/AND/26/00177,RIDDHI SIDDHI CORPORATION,2025-06-01,PPR/AND/26/00587,2025-06-05,0.0,4.0,≤15 days,2025-06
PO/AND/26/00178,KASAT PLASTIC,2025-06-01,PPR/AND/26/00957,2025-06-16,0.0,15.0,≤15 days,2025-06
PO/AND/26/00179,RIDDHI SIDDHI CORPORATION,2025-05-29,PPR/AND/26/00522,2025-05-26,0.0,-3.0,No Receipt,2025-05
PO/AND/26/00180,Matrix Technologies,2025-05-29,PPR/AND/26/00564,2025-05-06,0.0,-23.0,No Receipt,2025-05
PO/AND/26/00181,GIRI ENTERPRISES,2025-06-01,PPR/AND/26/00800,2025-06-27,0.0,26.0,>15 days,2025-06
PO/AND/26/00182,PRINT LINE,2025-05-29,PPR/AND/26/01092,2025-07-30,50914.0,62.0,>15 days,2025-07
PO/AND/26/00183,VENUS COLOURANTS,2025-05-29,PPR/AND/26/00633,2025-06-10,0.0,12.0,≤15 days,2025-06
PO/AND/26/00184,MAHAVIR TRADERS,2025-05-29,PPR/AND/26/00655,2025-06-11,0.0,13.0,≤15 days,2025-06
PO/AND/26/00185,SAI ENTERPRISES (VENDOR),2025-05-29,PPR/AND/26/00846,2025-06-30,4272.0,32.0,>15 days,2025-06
PO/AND/26/00186,DURVESH ENTERPRISES,2025-06-01,PPR/AND/26/00843,2025-06-30,6354.0,29.0,>15 days,2025-06
PO/AND/26/00187,REKHA TRADING CO,2025-06-01,PPR/AND/26/00855,2025-06-23,0.0,22.0,>15 days,2025-06
PO/AND/26/00188,KANKAI ENTERPRISES,2025-05-29,PPR/AND/26/00708,2025-06-13,3000.0,15.0,≤15 days,2025-06
PO/AND/26/00189,Manoj Enterprises,2025-05-29,PPR/AND/26/00706,2025-06-18,0.0,20.0,>15 days,2025-06
PO/AND/26/00190,Supreme Innovations,2025-05-29,NAN,,150000.0,,No Receipt,NaT
PO/AND/26/00191,PAL ENTERPRISE,2025-06-02,PPR/AND/26/00793,2025-06-21,2.3,19.0,>15 days,2025-06
PO/AND/26/00192,SHIVOM PRINTERS,2025-05-31,PPR/AND/26/00566,2025-05-14,0.0,-17.0,No Receipt,2025-05
PO/AND/26/00193,ENSEMBLE INTERNATIONAL,2025-06-03,PPR/AND/26/00751,2025-06-23,41.0,20.0,>15 days,2025-06
PO/AND/26/00194,KMUNOTAG PRIVATE LIMITED,2025-06-10,PPR/AND/26/01129,2025-07-03,277340.0,23.0,>15 days,2025-07
PO/AND/26/00195,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-06-12,PPR/AND/26/00719,2025-06-19,0.0,7.0,≤15 days,2025-06
PO/AND/26/00196,Gyanesh Print And Pack,2025-06-12,PPR/AND/26/00639,2025-06-11,2.0,-1.0,No Receipt,2025-06
PO/AND/26/00197,PRINT LINE,2025-06-12,PPR/AND/26/00650,2025-06-12,1420.0,0.0,≤15 days,2025-06
PO/AND/26/00198,JAYESH INDUSTRIES,2025-06-12,PPR/AND/26/00797,2025-06-25,0.0,13.0,≤15 days,2025-06
PO/AND/26/00199,NEELANJ BUSINESS SOLUTION LLP,2025-05-28,PPR/AND/26/00621,2025-05-30,35.14,2.0,≤15 days,2025-05
PO/AND/26/00200,SS COMMERCIAL,2025-05-28,PPR/AND/26/00754,2025-06-24,1.5,27.0,>15 days,2025-06
PO/AND/26/00201,Printzone,2025-06-09,PPR/AND/26/00623,2025-06-10,54.394999999999996,1.0,≤15 days,2025-06
